"","loan_amount","interest_rate","term","grade","state","annual_income","homeownership","debt_to_income"
"1149",3600,7.97,36,"A","VA",86000,"RENT",12.38
"1150",40000,9.92,36,"B","OR",250000,"MORTGAGE",28.67
"1151",20000,13.59,36,"C","CA",48000,"RENT",16.04
"1152",26000,11.98,60,"B","CO",111000,"MORTGAGE",14.29
"1153",10000,13.59,36,"C","TX",35000,"RENT",36.52
"1154",12900,16.02,36,"C","PA",32000,"RENT",20.59
"1155",15000,15.05,36,"C","MA",61846,"RENT",29.07
"1156",7200,10.9,36,"B","WA",115000,"RENT",9.71
"1157",28000,15.04,60,"C","MD",122000,"MORTGAGE",24.59
"1158",36400,15.04,60,"C","MN",38700,"RENT",57.02
"1159",12500,11.98,36,"B","CA",59000,"RENT",21.79
"1160",15000,7.96,36,"A","CA",80000,"RENT",10.62
"1161",6000,9.92,36,"B","KY",62000,"OWN",13.16
"1162",20000,14.08,36,"C","ID",74400,"MORTGAGE",33.19
"1163",20000,6.08,36,"A","SC",70000,"OWN",10.5
"1164",10000,12.61,60,"C","MN",86000,"MORTGAGE",14.54
"1165",10000,16.02,36,"C","MA",37000,"MORTGAGE",24.98
"1166",20000,5.31,36,"A","TX",164000,"RENT",8.62
"1167",5000,6.08,36,"A","GA",25700,"RENT",17.98
"1168",6000,18.45,36,"D","MN",55000,"MORTGAGE",27.53
"1169",32000,9.44,36,"B","NV",30000,"MORTGAGE",62.48
"1170",12000,6.07,36,"A","MO",55000,"RENT",30.87
"1171",40000,9.44,36,"B","FL",101000,"MORTGAGE",15.48
"1172",17000,16.02,60,"C","MA",32000,"RENT",27.19
"1173",10000,6.07,36,"A","MO",55000,"RENT",16.78
"1174",30000,25.82,60,"E","CA",39000,"RENT",15.17
"1175",3500,15.05,36,"C","GA",32844,"OWN",20.94
"1176",8000,6.07,36,"A","VA",43125,"MORTGAGE",22.49
"1177",30000,7.97,36,"A","CA",185000,"MORTGAGE",9.71
"1178",21500,11.99,60,"B","CA",63000,"MORTGAGE",17.54
"1179",30000,18.45,36,"D","AL",94000,"OWN",38.15
"1180",6600,9.92,36,"B","TX",70000,"MORTGAGE",25.63
"1181",21600,13.59,36,"C","MA",70000,"MORTGAGE",35.64
"1182",22000,9.43,36,"B","OH",31000,"RENT",5.27
"1183",20000,16.01,60,"C","CA",1e+05,"MORTGAGE",4.38
"1184",19000,11.98,60,"B","CA",130000,"RENT",9.55
"1185",9600,10.91,36,"B","CA",135000,"MORTGAGE",14.18
"1186",12000,6.71,36,"A","GA",50000,"OWN",24.11
"1187",3000,11.98,36,"B","SC",40000,"MORTGAGE",26.19
"1188",9000,11.99,36,"B","PA",50000,"RENT",9.22
"1189",16000,9.92,60,"B","WI",46000,"RENT",7.54
"1190",12850,11.98,36,"B","TX",27000,"OWN",9.47
"1191",15000,6.08,36,"A","TX",77500,"MORTGAGE",20.33
"1192",18000,6.08,36,"A","AR",60000,"RENT",16.32
"1193",10000,7.96,36,"A","AR",44000,"OWN",3.33
"1194",12000,9.93,60,"B","MA",26000,"RENT",24.75
"1195",8250,6.71,36,"A","AZ",52000,"RENT",12.65
"1196",28000,10.91,36,"B","PA",150000,"MORTGAGE",8.7
"1197",35000,19.03,60,"D","IN",104000,"MORTGAGE",13.39
"1198",8000,9.93,36,"B","WV",110000,"MORTGAGE",19.4
"1199",15000,7.34,36,"A","IN",50000,"MORTGAGE",14.33
"1200",8000,15.04,36,"C","CO",55200,"RENT",22.17
"1201",13000,18.45,60,"D","SC",87000,"RENT",18.41
"1202",28500,9.44,60,"B","AZ",98000,"MORTGAGE",10.71
"1203",17000,6.08,36,"A","CA",110000,"MORTGAGE",17.35
"1204",22400,7.35,36,"A","VA",51000,"RENT",28.24
"1205",4000,13.59,36,"C","AL",60000,"MORTGAGE",23.58
"1206",35950,17.09,60,"D","CO",25000,"MORTGAGE",29.67
"1207",35000,10.91,60,"B","VA",110000,"MORTGAGE",27.29
"1208",5000,13.59,36,"C","CA",72000,"MORTGAGE",25.2
"1209",3900,5.32,36,"A","MA",25000,"RENT",15.56
"1210",11000,10.91,36,"B","KS",90000,"MORTGAGE",15.71
"1211",14400,16.01,60,"C","CA",83600,"RENT",23.94
"1212",40000,10.42,60,"B","TN",70000,"OWN",8.86
"1213",2500,9.43,36,"B","MI",61000,"MORTGAGE",11.82
"1214",14400,9.43,60,"B","ND",63000,"MORTGAGE",9.31
"1215",7150,6.07,36,"A","CA",50000,"RENT",20.93
"1216",22000,11.99,60,"B","CO",65000,"MORTGAGE",24.02
"1217",5000,10.42,36,"B","TX",109000,"MORTGAGE",14.76
"1218",32000,14.07,36,"C","NC",210000,"MORTGAGE",8.75
"1219",25600,13.59,36,"C","GA",57626,"MORTGAGE",18.34
"1220",10700,10.9,36,"B","TX",145000,"MORTGAGE",20.75
"1221",24000,14.08,60,"C","CO",37000,"RENT",36.72
"1222",32000,11.98,60,"B","IL",91000,"MORTGAGE",19.57
"1223",24000,11.99,60,"B","CA",209000,"MORTGAGE",19.76
"1224",30000,11.99,60,"B","NV",125000,"MORTGAGE",23.77
"1225",4200,6.71,36,"A","NY",105000,"RENT",11.61
"1226",40000,9.92,36,"B","PA",72000,"MORTGAGE",24.86
"1227",15000,10.9,60,"B","OH",40800,"OWN",19.41
"1228",12000,9.93,36,"B","NY",130000,"MORTGAGE",29.11
"1229",12000,11.99,36,"B","MD",71500,"OWN",5.79
"1230",25000,5.32,36,"A","IL",70000,"MORTGAGE",22.92
"1231",10000,18.45,60,"D","NH",70000,"OWN",27.64
"1232",25000,6.07,60,"A","TX",88000,"RENT",20.45
"1233",3200,11.98,36,"B","NJ",75000,"RENT",16.06
"1234",15000,10.9,36,"B","CA",168000,"MORTGAGE",30.87
"1235",8500,11.98,36,"B","DC",40000,"RENT",6.15
"1236",35000,12.62,60,"C","AL",165000,"MORTGAGE",14.91
"1237",18000,10.9,60,"B","OH",52000,"MORTGAGE",30.33
"1238",10000,5.32,36,"A","OH",98000,"MORTGAGE",11.34
"1239",4000,11.98,36,"B","CA",55000,"RENT",19.42
"1240",30000,19.03,60,"D","NJ",72000,"MORTGAGE",13.48
"1241",8500,6.07,36,"A","MO",75000,"MORTGAGE",22.54
"1242",4000,13.59,36,"C","TX",160000,"MORTGAGE",12.48
"1243",8000,12.61,36,"C","WA",25000,"RENT",27.7
"1244",35000,14.07,36,"C","CA",375000,"RENT",13.82
"1245",35000,12.62,36,"C","ID",72000,"OWN",25.96
"1246",14000,21.45,60,"D","CA",39000,"MORTGAGE",22.09
"1247",17000,23.88,36,"E","CA",2e+05,"RENT",8.41
"1248",12000,9.44,36,"B","GA",72000,"MORTGAGE",20.1
"1249",10000,6.08,36,"A","MD",95000,"MORTGAGE",22.33
"1250",6300,21.85,36,"D","KS",42700,"RENT",17.09
"1251",20000,7.34,60,"A","CA",58000,"RENT",6.31
"1252",8400,14.07,36,"C","NE",25000,"OWN",20.07
"1253",30000,11.99,60,"B","TX",35000,"MORTGAGE",8.95
"1254",3600,7.97,36,"A","NC",24000,"RENT",5.5
"1255",8000,11.98,36,"B","NJ",92000,"MORTGAGE",5.54
"1256",24000,17.47,60,"D","OK",0,"MORTGAGE",NA
"1257",20000,23.87,60,"E","MA",40758,"MORTGAGE",31.51
"1258",30000,7.35,36,"A","CA",103000,"RENT",6.58
"1259",20000,16.02,36,"C","CA",80000,"RENT",17.04
"1260",5000,10.9,36,"B","FL",43000,"MORTGAGE",16.33
"1261",25000,12.61,60,"C","FL",72000,"MORTGAGE",26.38
"1262",10500,14.08,36,"C","VA",81200,"MORTGAGE",21.73
"1263",6000,9.92,36,"B","MI",47000,"MORTGAGE",3.93
"1264",16000,15.05,36,"C","RI",1e+05,"OWN",2
"1265",8000,9.43,36,"B","WA",150000,"MORTGAGE",12.78
"1266",10000,6.07,36,"A","UT",33000,"RENT",4.98
"1267",12000,6.08,36,"A","CA",41000,"RENT",20.99
"1268",25000,6.08,36,"A","SC",113000,"MORTGAGE",14.76
"1269",40000,10.9,36,"B","CA",315000,"MORTGAGE",4.41
"1270",23000,13.58,60,"C","IN",47757,"RENT",25.11
"1271",35000,18.45,60,"D","WA",90000,"RENT",19.83
"1272",5000,7.35,36,"A","CT",30000,"RENT",18.84
"1273",40000,6.72,36,"A","DE",93000,"RENT",0.32
"1274",8000,16.02,36,"C","FL",80000,"RENT",0.38
"1275",5000,10.42,36,"B","AL",60000,"MORTGAGE",19.12
"1276",27000,14.08,60,"C","KY",38000,"OWN",0.79
"1277",27000,13.58,36,"C","GA",50000,"MORTGAGE",17.83
"1278",15000,7.97,36,"A","TX",68750,"MORTGAGE",33.92
"1279",6700,10.91,36,"B","VA",95000,"MORTGAGE",8.93
"1280",12000,9.44,36,"B","NV",155000,"RENT",23.74
"1281",13550,16.01,36,"C","CT",62100,"MORTGAGE",35.25
"1282",15000,10.42,36,"B","TN",55000,"MORTGAGE",20.42
"1283",20000,17.47,60,"D","MA",80000,"MORTGAGE",27.5
"1284",12000,18.06,36,"D","AR",130000,"MORTGAGE",8.22
"1285",38500,11.99,36,"B","AK",78000,"MORTGAGE",30.75
"1286",4350,11.98,36,"B","TX",47500,"RENT",6.9
"1287",11000,15.04,36,"C","NY",60000,"RENT",8.28
"1288",6000,7.35,36,"A","MN",230000,"RENT",15.16
"1289",10000,9.44,36,"B","MD",25000,"RENT",10.75
"1290",30000,9.92,60,"B","PA",70000,"RENT",16.6
"1291",10000,11.98,36,"B","MI",25000,"RENT",41.15
"1292",19000,10.42,36,"B","AZ",1e+05,"MORTGAGE",10.16
"1293",13000,7.35,36,"A","GA",40000,"OWN",14.93
"1294",4000,9.44,36,"B","CT",33000,"RENT",2.36
"1295",9000,9.43,36,"B","CA",54237,"RENT",8.19
"1296",30000,18.06,36,"D","NC",140000,"RENT",21.85
"1297",20000,21.85,36,"D","NY",2e+05,"MORTGAGE",17.19
"1298",10000,9.93,60,"B","AL",85000,"MORTGAGE",4.44
"1299",21000,20.39,60,"D","OK",77177.88,"MORTGAGE",28.27
"1300",7000,7.34,36,"A","CA",85000,"OWN",2.84
"1301",7500,15.05,36,"C","AR",20000,"RENT",33.46
"1302",20400,10.9,60,"B","MO",84500,"MORTGAGE",29.19
"1303",1000,20.39,36,"D","PA",23000,"OWN",13.73
"1304",15000,24.85,36,"E","CA",31000,"RENT",29.89
"1305",21000,7.35,36,"A","AZ",66000,"RENT",2.44
"1306",22000,9.44,36,"B","WI",62000,"MORTGAGE",21.82
"1307",10000,17.47,36,"D","AZ",18000,"MORTGAGE",10.09
"1308",12525,10.91,36,"B","NV",35790,"RENT",32.03
"1309",2000,9.44,36,"B","IN",30000,"MORTGAGE",26.56
"1310",25000,6.71,36,"A","GA",45000,"MORTGAGE",2.43
"1311",14000,15.04,36,"C","NV",31000,"RENT",15.64
"1312",35000,10.41,36,"B","AL",1e+05,"MORTGAGE",14.54
"1313",13000,13.59,36,"C","TX",31700,"MORTGAGE",17.31
"1314",20000,11.99,60,"B","MO",42000,"RENT",37.34
"1315",5000,20,36,"D","FL",65000,"MORTGAGE",19.42
"1316",26000,12.62,60,"C","AZ",115000,"MORTGAGE",11.57
"1317",14000,6.71,36,"A","CA",158000,"RENT",2.32
"1318",1300,11.98,36,"B","CO",62400,"MORTGAGE",12.76
"1319",3700,7.35,36,"A","AZ",36000,"RENT",18.77
"1320",36000,12.62,60,"C","GA",55000,"RENT",5.63
"1321",19200,11.99,60,"B","IN",56400,"MORTGAGE",1.98
"1322",22000,11.98,36,"B","MA",105000,"RENT",19.41
"1323",9800,18.06,36,"D","KS",38000,"RENT",21.73
"1324",12000,12.61,60,"C","MS",115000,"MORTGAGE",7.87
"1325",28500,17.47,60,"D","WY",77017,"OWN",20.18
"1326",25000,15.05,60,"C","OR",55000,"RENT",0.55
"1327",6000,9.43,36,"B","TX",48000,"OWN",0.68
"1328",3500,5.31,36,"A","CA",220000,"OWN",9.19
"1329",12000,10.41,36,"B","CA",59000,"RENT",18.28
"1330",4500,15.05,36,"C","IL",72000,"RENT",20.18
"1331",15000,7.35,36,"A","WA",0,"MORTGAGE",NA
"1332",10000,19.03,60,"D","TN",66920,"MORTGAGE",12.32
"1333",5000,10.41,36,"B","CA",53000,"MORTGAGE",28.92
"1334",5600,10.91,36,"B","OH",26000,"MORTGAGE",18.19
"1335",12000,7.97,36,"A","NJ",76000,"RENT",25.09
"1336",8800,9.93,36,"B","CA",55000,"OWN",12.7
"1337",25000,12.62,60,"C","WI",78000,"OWN",33.14
"1338",10000,12.62,36,"C","FL",110000,"MORTGAGE",18.61
"1339",15000,18.06,36,"D","IN",58000,"MORTGAGE",20.82
"1340",12000,6.71,36,"A","GA",48000,"RENT",27.87
"1341",20000,6.07,36,"A","MO",90000,"MORTGAGE",19.49
"1342",2600,18.06,36,"D","CA",62000,"MORTGAGE",29.95
"1343",20000,5.32,36,"A","NC",132000,"MORTGAGE",9.13
"1344",33550,13.59,36,"C","MI",280000,"MORTGAGE",18.64
"1345",3000,7.96,36,"A","TN",62000,"MORTGAGE",9.16
"1346",40000,9.43,36,"B","MI",223500,"MORTGAGE",15.22
"1347",6000,5.31,36,"A","AZ",80000,"MORTGAGE",8.87
"1348",40000,6.07,36,"A","IN",147000,"MORTGAGE",26.14
"1349",15000,21.45,36,"D","AL",69116,"MORTGAGE",20.33
"1350",20000,7.35,36,"A","WA",75000,"RENT",5.34
"1351",16000,11.98,36,"B","IN",45000,"OWN",9.63
"1352",14000,7.34,36,"A","NY",60000,"MORTGAGE",26.2
"1353",20000,6.07,36,"A","OR",80000,"MORTGAGE",16.23
"1354",20000,12.61,60,"C","WA",60000,"MORTGAGE",10.32
"1355",10000,7.34,36,"A","GA",80000,"MORTGAGE",10.23
"1356",3000,9.93,36,"B","NV",40000,"RENT",4.17
"1357",15000,9.44,60,"B","GA",30000,"MORTGAGE",17
"1358",11200,18.45,60,"D","TX",75000,"MORTGAGE",35.26
"1359",20000,6.07,36,"A","CO",120000,"MORTGAGE",7.73
"1360",3000,11.99,36,"B","PA",50000,"RENT",14.4
"1361",8500,9.44,36,"B","TX",59000,"MORTGAGE",31.14
"1362",3000,12.62,36,"C","IN",60000,"MORTGAGE",17.64
"1363",28950,11.98,60,"B","TX",70000,"MORTGAGE",33.55
"1364",30000,12.61,36,"C","AL",172000,"MORTGAGE",14.01
"1365",20000,5.32,36,"A","MA",1e+05,"RENT",15.86
"1366",35000,12.61,36,"C","MD",95000,"MORTGAGE",27.25
"1367",17000,9.44,36,"B","AZ",58000,"MORTGAGE",21.73
"1368",7500,15.04,36,"C","VA",68000,"MORTGAGE",18.76
"1369",2500,6.71,36,"A","TX",65000,"MORTGAGE",9.55
"1370",15000,7.35,36,"A","GA",70000,"MORTGAGE",20.33
"1371",36000,6.07,36,"A","FL",180000,"MORTGAGE",27.33
"1372",5000,15.04,36,"C","FL",41000,"RENT",13.11
"1373",25000,9.92,36,"B","NY",75000,"RENT",17.51
"1374",20000,16.01,36,"C","ND",65000,"RENT",27.81
"1375",5250,6.72,36,"A","CA",84646,"MORTGAGE",2.48
"1376",4500,15.05,36,"C","NY",45000,"RENT",23.97
"1377",1000,22.91,36,"E","NY",23500,"RENT",26.66
"1378",18000,28.72,60,"F","LA",73000,"MORTGAGE",20.47
"1379",35000,6.71,36,"A","TX",190000,"MORTGAGE",10.67
"1380",10000,10.42,36,"B","NY",36000,"RENT",26.83
"1381",22000,9.93,60,"B","CA",46310,"RENT",16.19
"1382",7000,7.35,36,"A","TN",35000,"MORTGAGE",26.3
"1383",12000,26.3,60,"E","TX",50000,"RENT",10.78
"1384",10000,7.34,60,"A","GA",74000,"RENT",30.04
"1385",12000,9.43,36,"B","CA",109000,"RENT",6.79
"1386",20000,10.41,60,"B","GA",68000,"MORTGAGE",32.32
"1387",5000,13.58,36,"C","NY",56000,"MORTGAGE",32.9
"1388",4000,14.08,36,"C","TX",34000,"RENT",16.98
"1389",12000,9.44,36,"B","VA",99000,"MORTGAGE",7.89
"1390",10000,10.91,36,"B","NY",38000,"RENT",21.73
"1391",9000,9.44,36,"B","OH",55000,"MORTGAGE",35.36
"1392",33000,6.08,36,"A","FL",204000,"RENT",6.3
"1393",40000,6.71,36,"A","NJ",97000,"MORTGAGE",30.26
"1394",16000,10.91,60,"B","MS",55000,"RENT",4.67
"1395",35000,14.08,36,"C","NC",80000,"RENT",29.62
"1396",13975,11.98,60,"B","KY",83200,"OWN",22.8
"1397",8000,5.32,36,"A","IL",225000,"RENT",5.13
"1398",35000,6.72,36,"A","VA",90000,"OWN",2.19
"1399",25000,6.71,60,"A","NC",99000,"MORTGAGE",17.78
"1400",3500,15.05,36,"C","NJ",45000,"RENT",22.19
"1401",10000,10.9,60,"B","CO",45000,"RENT",25.92
"1402",11200,12.62,60,"C","PA",61000,"RENT",19.28
"1403",30000,11.99,60,"B","MS",2e+05,"MORTGAGE",9.99
"1404",10000,5.32,36,"A","IN",80000,"MORTGAGE",16.16
"1405",10000,5.32,36,"A","IN",95000,"RENT",10.38
"1406",15000,19.03,36,"D","NJ",60000,"RENT",2.72
"1407",7500,9.93,36,"B","NC",85000,"RENT",3.52
"1408",22000,14.07,60,"C","MO",101500,"MORTGAGE",25.96
"1409",6000,13.58,36,"C","NY",43000,"RENT",25.87
"1410",6025,5.31,36,"A","MA",65000,"RENT",17.65
"1411",10000,20.39,36,"D","CA",40000,"RENT",5.65
"1412",30000,6.71,36,"A","CA",76000,"RENT",20.31
"1413",20000,13.58,36,"C","CA",82000,"RENT",30.65
"1414",10000,9.93,36,"B","SC",33000,"OWN",22.16
"1415",12000,6.71,36,"A","FL",50000,"MORTGAGE",28.33
"1416",6100,10.91,36,"B","MI",52000,"RENT",18.28
"1417",12000,7.97,36,"A","TX",36000,"RENT",14.67
"1418",4000,10.41,36,"B","NC",38000,"MORTGAGE",24.42
"1419",6000,14.08,36,"C","FL",60000,"RENT",14.36
"1420",30000,5.32,36,"A","GA",89000,"MORTGAGE",17.65
"1421",9600,10.91,36,"B","MD",98000,"MORTGAGE",17.92
"1422",10500,12.62,36,"C","VA",116000,"OWN",19.63
"1423",6000,9.44,36,"B","IL",46000,"OWN",28.23
"1424",5525,16.01,36,"C","FL",75610,"MORTGAGE",24.45
"1425",5900,11.98,36,"B","TX",38168,"RENT",23.74
"1426",13600,6.07,36,"A","NH",65000,"RENT",14.22
"1427",12000,17.47,36,"D","NJ",35000,"OWN",15.23
"1428",20000,10.91,36,"B","PA",125000,"MORTGAGE",25.07
"1429",23000,21.85,36,"D","MA",33195,"RENT",47.71
"1430",25000,30.79,60,"G","ND",80000,"OWN",24.17
"1431",19000,7.96,36,"A","CT",139000,"RENT",13.55
"1432",1500,10.42,36,"B","FL",30000,"MORTGAGE",20.54
"1433",15000,6.72,36,"A","SC",50000,"OWN",4.7
"1434",25000,14.07,60,"C","IL",65000,"RENT",24
"1435",5600,15.05,36,"C","NJ",65000,"MORTGAGE",3.67
"1436",7000,13.59,36,"C","AZ",65000,"MORTGAGE",24.15
"1437",35000,12.62,36,"C","CA",120000,"RENT",5.82
"1438",8000,6.08,36,"A","MN",45000,"OWN",9.68
"1439",18000,10.91,36,"B","CT",28790,"RENT",20.84
"1440",30000,16.01,36,"C","KY",89000,"RENT",21.48
"1441",15000,9.44,36,"B","MD",65000,"MORTGAGE",4.87
"1442",4800,10.41,36,"B","CT",62000,"OWN",35.5
"1443",21000,10.42,60,"B","FL",60000,"MORTGAGE",30.92
"1444",12500,10.42,36,"B","OH",91000,"MORTGAGE",19.69
"1445",13000,5.32,36,"A","IL",112000,"MORTGAGE",17.65
"1446",28000,10.9,60,"B","TX",92000,"MORTGAGE",19.67
"1447",10300,13.59,36,"C","AL",87000,"OWN",10
"1448",6400,9.92,36,"B","TX",30000,"OWN",5.56
"1449",10000,21.85,36,"D","SC",52000,"OWN",27.77
"1450",2500,7.35,36,"A","NY",67846,"MORTGAGE",11.53
"1451",30000,11.99,60,"B","NY",140000,"RENT",11.85
"1452",22500,24.84,60,"E","NY",50000,"RENT",16.56
"1453",5000,6.71,36,"A","NY",125000,"MORTGAGE",11.29
"1454",40000,7.97,60,"A","IL",70000,"OWN",25.01
"1455",3600,13.59,36,"C","NJ",30000,"RENT",33.72
"1456",6800,12.61,36,"C","WI",36000,"RENT",7.97
"1457",34725,15.05,60,"C","ID",120000,"MORTGAGE",28.98
"1458",35000,14.07,36,"C","IL",125000,"RENT",3.19
"1459",30000,20.39,36,"D","OH",35000,"MORTGAGE",32.56
"1460",17000,13.59,36,"C","WA",42000,"RENT",17.63
"1461",3000,10.9,36,"B","VA",120000,"OWN",16.11
"1462",15000,10.42,60,"B","CA",60000,"MORTGAGE",0
"1463",24000,10.91,36,"B","NY",1e+05,"RENT",16.94
"1464",6000,9.92,36,"B","PA",43000,"RENT",17.14
"1465",8000,12.61,36,"C","TX",20000,"OWN",27.43
"1466",16000,12.61,36,"C","CA",110000,"RENT",6.72
"1467",30000,7.96,36,"A","AZ",110000,"MORTGAGE",38.3
"1468",40000,5.32,36,"A","MI",12000,"MORTGAGE",5.6
"1469",7000,16.02,36,"C","OK",41969,"OWN",6.63
"1470",15000,9.92,36,"B","CA",185000,"RENT",9.22
"1471",12000,11.98,36,"B","OR",35000,"OWN",10.29
"1472",6000,6.08,36,"A","NY",50000,"RENT",31.88
"1473",26650,9.44,36,"B","MA",91000,"MORTGAGE",11.79
"1474",10000,11.98,60,"B","WI",62000,"MORTGAGE",21.72
"1475",20000,20.39,60,"D","AZ",34000,"RENT",14.05
"1476",10000,7.97,36,"A","TX",63360,"OWN",17.37
"1477",15000,16.02,36,"C","NE",30000,"RENT",22
"1478",40000,14.07,60,"C","NC",108000,"MORTGAGE",9.63
"1479",1500,21.45,36,"D","PA",29000,"RENT",10.89
"1480",3500,6.08,36,"A","WI",27000,"RENT",18.22
"1481",21000,6.71,36,"A","TX",125000,"MORTGAGE",12.03
"1482",14650,15.04,36,"C","AZ",155000,"MORTGAGE",27.84
"1483",20000,18.45,60,"D","CO",47000,"RENT",31.92
"1484",12000,18.45,60,"D","NJ",24000,"OWN",23.2
"1485",20000,13.59,60,"C","ME",35000,"MORTGAGE",18.66
"1486",24000,13.58,36,"C","NC",1e+05,"MORTGAGE",12.67
"1487",30000,13.59,60,"C","CA",85500,"RENT",6.58
"1488",8000,15.05,36,"C","MA",27000,"RENT",5.61
"1489",40000,7.34,60,"A","CA",120000,"OWN",16
"1490",15000,19.03,60,"D","NY",45000,"RENT",24.91
"1491",32000,19.42,60,"D","AZ",102004,"RENT",14.49
"1492",8500,9.92,36,"B","IL",180000,"MORTGAGE",9.31
"1493",16000,7.97,36,"A","OH",54000,"MORTGAGE",30.71
"1494",10000,9.44,36,"B","MD",40000,"RENT",24.27
"1495",12000,7.96,36,"A","OK",160482,"MORTGAGE",36.19
"1496",12500,15.05,60,"C","AZ",32000,"MORTGAGE",2.51
"1497",1000,7.35,36,"A","FL",41000,"RENT",8.99
"1498",40000,7.35,36,"A","NJ",2e+05,"RENT",2.28
"1499",35000,18.06,60,"D","IL",106080,"MORTGAGE",22.79
"1500",6200,13.59,36,"C","NJ",30000,"RENT",8.92
"1501",15000,6.71,36,"A","IL",55000,"MORTGAGE",18.68
"1502",6000,6.08,36,"A","NJ",70566,"MORTGAGE",15.18
"1503",5000,17.47,36,"D","IL",43000,"OWN",31.37
"1504",40000,15.05,60,"C","OH",88251,"MORTGAGE",0.27
"1505",19000,7.34,60,"A","WI",55000,"MORTGAGE",11.37
"1506",10000,12.61,36,"C","NY",45000,"RENT",16.34
"1507",39600,7.35,36,"A","SD",50000,"MORTGAGE",37.3
"1508",16000,9.93,60,"B","TX",55000,"RENT",13.38
"1509",6000,18.45,36,"D","FL",40000,"RENT",24.72
"1510",6000,18.06,36,"D","CA",65000,"RENT",10.67
"1511",25000,20.39,36,"D","NE",18400,"MORTGAGE",43.57
"1512",40000,7.35,36,"A","NY",180000,"MORTGAGE",0.17
"1513",25200,16.02,60,"C","FL",75000,"MORTGAGE",17.39
"1514",10000,5.32,36,"A","AL",60000,"OWN",18.74
"1515",30000,12.62,60,"C","TX",55000,"MORTGAGE",29.11
"1516",30000,10.9,60,"B","ND",45000,"RENT",13.04
"1517",35000,13.59,36,"C","AZ",236000,"MORTGAGE",3.36
"1518",25000,6.07,36,"A","NV",185000,"MORTGAGE",17.96
"1519",5000,10.9,36,"B","TX",102000,"MORTGAGE",32.29
"1520",8000,10.9,36,"B","AL",25000,"OWN",6.72
"1521",35000,16.02,36,"C","CA",1e+05,"RENT",25.65
"1522",28000,7.97,36,"A","CA",105000,"MORTGAGE",23.47
"1523",2500,6.72,36,"A","OR",65000,"MORTGAGE",20.22
"1524",5600,17.09,36,"D","TX",91000,"RENT",23.35
"1525",13000,12.61,36,"C","TX",60000,"MORTGAGE",22.44
"1526",14400,9.44,36,"B","SC",129600,"MORTGAGE",26.43
"1527",10100,13.59,36,"C","IN",46650,"RENT",34.09
"1528",7400,19.03,36,"D","LA",58000,"MORTGAGE",29.22
"1529",14000,9.44,36,"B","FL",65000,"RENT",25.07
"1530",20000,9.44,36,"B","LA",1e+05,"MORTGAGE",24.91
"1531",40000,16.02,60,"C","NC",67790,"MORTGAGE",11.26
"1532",4000,14.07,36,"C","NJ",75000,"MORTGAGE",32.56
"1533",10400,6.72,36,"A","TX",45000,"MORTGAGE",21.89
"1534",16000,7.97,36,"A","OH",41000,"RENT",20.4
"1535",17550,22.91,60,"E","TX",39000,"OWN",11.45
"1536",12000,17.47,60,"D","SC",68186,"OWN",15.61
"1537",7000,14.08,36,"C","NY",15500,"RENT",16.11
"1538",19000,18.06,36,"D","CA",95000,"RENT",10.94
"1539",25000,9.93,36,"B","TX",95000,"MORTGAGE",27.22
"1540",30000,23.88,60,"E","CA",85000,"RENT",16.14
"1541",1825,13.59,36,"C","NM",48000,"RENT",30.88
"1542",8300,7.96,36,"A","SC",40000,"MORTGAGE",17.88
"1543",10000,5.31,36,"A","CA",211000,"MORTGAGE",2.53
"1544",7000,6.08,36,"A","WA",85000,"MORTGAGE",11.18
"1545",3500,14.08,36,"C","CA",35000,"RENT",11.8
"1546",12000,7.34,36,"A","AZ",23500,"RENT",20.4
"1547",10200,18.06,60,"D","PA",19582.09,"RENT",20.23
"1548",8000,6,36,"A","OH",120000,"MORTGAGE",22.27
"1549",13000,13.59,60,"C","GA",75000,"MORTGAGE",22.77
"1550",11000,18.06,60,"D","TX",80000,"MORTGAGE",16.56
"1551",13000,14.07,36,"C","FL",50000,"RENT",22.4
"1552",10000,13.58,60,"C","CA",65000,"RENT",9.62
"1553",4500,7.35,36,"A","FL",55000,"RENT",25.25
"1554",8500,9.43,36,"B","TX",90000,"RENT",26.69
"1555",18000,21.45,60,"D","NY",80000,"RENT",38.09
"1556",23000,11.99,60,"B","TN",208000,"MORTGAGE",21.62
"1557",30000,24.84,60,"E","MA",37000,"MORTGAGE",17.65
"1558",22000,6.72,36,"A","NC",79500,"MORTGAGE",13.62
"1559",15000,9.44,36,"B","CA",60000,"MORTGAGE",3.96
"1560",24000,5.32,36,"A","FL",163000,"MORTGAGE",13.35
"1561",10000,9.43,36,"B","WV",83233,"MORTGAGE",9.75
"1562",15000,15.05,36,"C","TX",30000,"MORTGAGE",16.52
"1563",10000,9.93,36,"B","FL",65000,"RENT",5.27
"1564",11450,30.65,60,"F","NY",17000,"RENT",34.39
"1565",5000,11.98,36,"B","CA",25000,"RENT",11.14
"1566",14000,14.08,36,"C","CA",86000,"RENT",20.75
"1567",4000,19.03,36,"D","OR",60000,"RENT",11.14
"1568",5000,6.72,36,"A","NY",28000,"RENT",37.21
"1569",20000,21.45,60,"D","IN",110000,"MORTGAGE",10.39
"1570",20000,10.41,36,"B","PA",50000,"MORTGAGE",19.76
